Index_No,Date,Review,Rating (0 - 5)
14,2023-07-11,"Says I've had a msg for a year & none of the troubleshooting ideas work. Annoying, but tolerable. What's not is when I click on a Black content creator tagged in a caption & it won't load at all. Tried many times with several different accts & non-black accts opened just fine. I tried force-stopping, clearing data, uninstall/reinstall, restarting my phone, etc., just to be sure that what I'm seeing is actually what is happening. This seems deliberate & it needs to be corrected immediately.",1
15,2023-07-23,Was better before.. Now the comments are one long line (on mobile devices) whereas before the user could see all the text and proofread it before sending it. It's not always easy to get a point across in one sentence. Please make the UI more user friendly. Also I'm wondering what drives the pictures that come up in the search window? I get many that I have no interest in.,3
16,2023-07-12,"App switches to dark mode and unuseable. For the past few weeks, while using the app, it will switch to dark mode and made text in black background. So the posts are unreadable and the app is pretty much worthless and unuseable. It sounds like this is very common and needs to be addressed. There are too many other platforms out there now for Instagram to be letting this go for this long. And yes, I cleared all caches, reinstalled and the whole works. Several times. âºï¸",1
17,2023-07-10,"Even with light mode on, sometimes the app will turn the text to white on white so I can't read anything. Seems to happen everytime when I click a link in someone's bio and go back to the app. Chat themes also I can't see anymore. Would be good to turn off the autoplay feature since if I'm looking at a photo and there's a reel below, it'll automatically start playing the reel and once the reel is done it'll scroll to the next post even though I'm not done looking at the picture.",1
18,2023-07-10,"Pretty good app, and I use it frequently, but there's been some issues lately. One is the apps weird color scheme changes where the background and posts be a clash of black and white where I can't see texts, another being issues with chat themes. After I close out, it will automatically change back to pre-determined, and it sucks because I can't see the colors that give it a personality",3
19,2023-07-10,"As a Photographer, Web Devloper, and Graphic Designer, it feels very limiting to use Instagram. The aspect ratio is set to 1:1 or 5:4, and the app doesn't respond to landscape mode on the device. Also, the algorithm seems to suppress posts unless you pay to boost them. Of course, we will never know as all of that info is kept secret from the users. It's still a good app for sharing photos and has the potential to reach a larger audience, and it's good to connect with a younger target market.",3
20,2023-07-16,"Easy to use for the most part, good to talk to friends, but I've been having an issue where if I go to the home screen or open another app Instagram doesn't show in my recently used apps and I have to reopen it. It doesn't sound bad, but it's really annoying, and it's only happening with Instagram, even after reinstalling. I haven't found a fix and it's been happening even after a few updates.",4
21,2023-07-09,"The app will NOT open anymore. Any attempts to do so cause it to crash, saying there is a bug. I've done everything to fix it, restart my phone, uninstall and reinstall the app, check for updates both on my phone and the app, cleared cache, all of it. And the app continues to crash whenever I try to open it. I am FORCED to use the web browser, and it's ridiculous.",1
22,2023-07-09,"First, I lose the ability to use reels with no real indication as to why. I upgraded app versions, clear caches, and nothing. Now, I can't even scroll through posts without the app crashing and a pop-up saying that there is a bug that needs to be addressed and to download the new version when developers create a patch. How about I just delete this app and not use any form of social media. Do better.",1
23,2023-06-28,"It's currently impossible to edit reels in the app. They stop playing when you try to edit them, and if you save as a draft and open it again then the ""audio is no longer available"" and deletes from your video. Or, if you accidentally hit the back button, all of your work disappears. The screen also becomes partially white and black at times, making it difficult to read text.",2
24,2023-06-28,"The app is honestly my favorite social medias, and the only one that I reliably use, but there's just so many thing wrong with it that it's hard to recommend it to anyone. There's the fact that the screen will randomly become half light and half dark mode. Or the fact that only some devices get newer content such as notes, chat themes, and most recently the ability to use songs in notes, and I'm also able to use said features on my 2nd account but not the primary one.",3
25,2023-07-09,"Recently updated this app on a pixel 7 pro with the latest July patch. The app now force closes the moment it opens. It opens and disappears. I can reset the device and maybe get it to open if I get a notification from the app. But I would say about 70% of the time it just randomly closes. Incredibly frustrating. Unbelievable. I'm not sure if it is the operating system update or the most recent update on the app, but judging from the dates on some of the reviews I feel like it's the app update",1
26,2023-07-07,"not only has instagram become super annoying to use (reels were a mistake), but story highlights are still broken ð¤ª i know for a fact this is a common mistake and there isnt a fix for it. highlights with music wont load, they freeze. and its not all of them either, just like some random ones. and its not because music was removed either !! the same song will work on one, but not another. idk just fix the app man",1
27,2023-07-12,"Instagram sucks reason 3 and 7, out of way too many... can't turn sound on in people's story. Unless you have turned it on in the feed scroll. Can't start up where you left off, like you can in Twitter. Instagram will throw you to the very latest upload whether you wanted to see it or, not. App is becoming worse and worse. Almost time to delete it like I did with facebook. Videos glitching again.",2
28,2023-07-09,Keeps crashing ever since yesterday. I've tried the web version and it works fine. For no rhyme or reason it just started insta crashing when trying to launch the app. Even went as far as removing the app and reinstalling it but after scrolling for only a couple seconds it kicks me off ://. I might be banned but that wouldn't explain me being able to use the web version. Hopefully this gets fixed soon.,1
29,2023-07-20,"Over personalization and location tracking make this app slow and frustrating to use on a consistent level. Especially while traveling or being outside of your original data coverage area. Having said that, Instagram is a considerable upgrade over Facebook in every way. An absolute huge problem is the constant scamming and soliciting from bots and people alike. Another incredibly large problem amongst the community is identity theft and buying of accounts, specifically on reels.",2
30,2023-05-17,"1. I see more ads than content from the 1200 people I follow. Also they changed back to the ""x weeks ago"" time format which is super inconvenient. 2. You used to be able to hold down on the image when editing and see what it looked like before, but now it moves the image. You have to go into each adjustment to see what it looked like before that adjustment. 3. When it saves the image to my gallery it's not the same image, ie. Theres black bars from straightening showing on the sides. ð¤·ââï¸",1
31,2023-06-14,"Formatting has just gotten worse and worse. When on the explore page, you can't scroll smoothly anymore and it plays random videos underneath or above as if you're watching them, when I'm trying to look at photos or read text-based posts. Super distracting. I don't understand why they're trying to phase out photos when this is literally a photo sharing app. The only thing that works somewhat smoothly is reels, and thats not what i want to use this app for at all. Makes me so frustrated.",1
32,2023-05-22,"Updating my review since many of the issues have been fixed. The ""save"" menu that pops up is a great addition to let us choose which save folder to use, but it'd be nice if it were less prominent. It covers most of the screen, but if I want to quickly save a video and move on without picking a folder, it gets in the way. Maybe a smaller menu would be better.",4
33,2023-06-09,"I'm not sure what's been happening. Seems update after update just causes one bug on top of another. Currently, and for a while now, my stories don't want to load correctly, or in today's case, at all. If I add text or stickers or anything really to one slide in a series, it adds it to every slide. I go through each slide and trash what isn't supposed to be there. Then, go back to the original and pull everything up from the trash area to replace it all. It's frustrating and time-consuming.",2
34,2023-06-18,"In the last couple of weeks, when I am using the app, it will randomly change to either an all white screen with photos or everything other than the photos will be black. When the screen is black, I am unable to see any words, only the photo. Through most of the glitches, I have sometimes found a work-around, not this time. The app too will just start scrolling on its own sometimes, which is really annoying. Please place attention & focus on this issue as well as the other people have mentioned.",3
35,2023-06-11,"This app used to be smooth and functional. But every update seems to introduce new bugs rather than features while keeping the old bugs. Now it's to the point where the app is no longer functional. For example, one specific chat is inaccessible, when I click on it, the app crashes. Another example, when I'm scrolling through reels, after a certain point, I will scroll where the reel says, ""This reel is unavailable"" and the app will immediately crash. These are both broken essential features.",1
36,2023-06-19,"I've never enjoyed this app, though I can appreciate the content on here. It's a decent way for artists to share their art and for others their life. However I do think that it's unreliable. The app is incredibly glitchy, which may just be me, but it's worth a note. Specifically on Instagram, the format will change dramatically whenever you go to a different screen. Ex: The messages could be in light mode, then you exit to the home screen and it's in dark mode. This has only happened recently.",2
37,2023-06-06,"The change into format ... weeks ago instead of the precise date is very inconvenient. Also, after the update, the story icons are too big. While choosing pictures for a post, if you leave the app (for example, to go to the gallery to check the pictures), it automatically resets all the chosen pictures, so you have to choose again. It is unclear how to draft the posts. Also, the draft reels folder keeps appearing and disappearing. There's ads one after another (too often)",3
38,2023-06-11,So many issues. I think every update just messes something else up. I use IG mostly for video chats and all of a sudden I can connect to Bluetooth and I no longer have a full screen of the person I'm talking to nor do they get a full screen of me it's just two half photos on top of each other. Trash. The sound is not the best if you are in a room with anyone else since staying connected to Bluetooth is almost impossible. PLEASE FIX. I would love to go back to normal video calls.,2
39,2023-05-10,"This app really is just throwing itself in the garbage. It pushes reels so hard, but can't get them to work right, so I'll be scrolling them for a while, and when I close the app and click a different one later, the next swipes are same ones I had already seen, in the same exact order. It also tells me when to swipe a reel if I watch the same one a couple of times, as if it's giving me a tutorial on how to use it. Also posting images glitches edits and crops them weird no matter what you do.",1
40,2023-05-25,"Annoying. Has been crashing a lot lately, and freezes. My recently liked posts setting is missing. I used it a lot, but now it's gone. Hoping they'll bring it back. And it won't let me save posts. Edit: And now they've changed it so posts show how many weeks ago, and not an exact date. Also, the messages don't work. Sometimes they'll show up a few days after someone's sent them.",1
41,2023-05-09,"The words ""Something went wrong. Please try again"" haunt me in my sleep. Reels editor is a disaster. I have a fairly new and powerful phone so it's not my device's issue, plus I've seen other reviewers with the same problem. It freezes up as soon as you start doing ANYTHING in it (adding clips, trimming them, music, text, transitions, etc.). With how much money Meta has and how much they push reels in the algorithm, there's no excuse for it to be such a trainwreck!",1
42,2023-06-04,Very disappointed with trying to upload multiple pictures. When I got to edit them it then moves the so that they are no longer centered and are being cut off. So I get part of the picture and then get half an inch of a vertical black line on the left side. It's especially annoying when I've spent so much time adjusting these pictures just to find out they have been shifted and everything I do to fix it doesn't work.. it just goes right back to being cropped...,1
43,2023-06-06,"Since the last update, Instagram story creation has been bugged. Specifically, the layered sticker function isn't working correctly. When you choose a subsequent sticker, it now forgets where you were in your images, so you have to scroll back down from the top (previously, it remembered). Also, if you add a sticker, it copies it onto the story after it when making multiple stories. Overall story resolution seems lower as well, at least when it comes to adding text to video or gifs to text.",1
44,2023-07-09,"Constantly declining. That is the best way I can describe my experience with Instagram. Entire chats being deleted, notifications never going out, themes appearing and disappearing, videos I send or receive often cannot be played (and are corrupted when you download them). There's just so many issues, and that's with just the DMs Sometimes audio keeps playing when I close the app, sometimes the app double posts comments, and sometimes it doesn't let me post at all and I have to start over again",2
45,2023-06-15,"Every update makes the app worse. They take away the good features and keep adding unnecesary stuff. Instagram lost its touch after everything became a reel. It used to be nice to see the pictures my friends posted. Now all I see are random reels, suggested reels, repeated reels and ads. This app lost its ""intimacy"" with the users. Now it feels like an overcrowded concert, something you cant enjoy. Really sad tbh, and I've used the app for more than a decade. It has gotten progressively worse.",1
46,2023-07-26,"a necessary evil :/ unfortunately, a lot of connecting relies on ig nowadays but the app sucks. i have multiple accounts and the app is horrible as a business, creator, artist, or just normal user. basically no matter what kind of account you have the app is terrible and not user friendly. the algorithms suck. reels dont even play half the time. edits from one reel show up on others... u cant just scroll a chronological feed anymore...buttons always move and change. basically tiktok 2.0 ð¤®",1
47,2023-05-20,They just changed the layout for how you share videos/pics with friends. The layout was perfectly fine the way it was before. Now you're gonna make me download a previous version of the App because it's so stupidly changed. I don't like the new layout for sharing videos. I want the share to story option in at the top in a list format like it has been for however long. I don't want the option at the bottom of the screen. I don't need 15 chat heads displayed front and center. Please fix.,1
48,2023-07-09,"The app is full of glitches. The screen turns white and then I can't see anything else. I used to love this app when it was all about fun and beautiful pictures. Then it became all about videos which is really annoying. Now they've made it hard, nearly impossible, to find relevant content. Unless you only want to see content from accounts with huge followings, you're out of luck. They've made it nearly impossible for small accounts to get noticed by taking away the ""recent"" option.",1
49,2023-05-04,"If you share multiple photos with someone, you can't even look through them or save them. It shows them as a stack of photos, but inaccessible. Messaging barely provides notification nor does it refresh itself. I have to go back to my feed and refresh my feed before my messages will refresh. Sometimes a full closing and re-opening of the app is the only way to fix it.",1
50,2023-07-05,"What a piece of junk software. I would love to give zero stars. Whatever they did in the latest ""value added"" update appears to redact every picture and/or post after a refresh. Photos (if they show up at all) are blurred. It won't let me manually refresh, log out or access any user options. The only workaround I found for now - is to delete the app and reinstall each and every time I want to interact with it. If it wasn't a ""free"" data mining sink hole, I'd demand a refund.",1
51,2023-07-22,"Constant story notifications despite having them turned off in the app. I had turned on Instagram notifications for the first time in years relatively recently, but it is incessant. It will not stop sending story notifications every hour or two. Terribly annoying. I'm turning off all notifications once again. Garbage app, it will not allow you to be a casual user, the algorithm wants you addicted. Zero stars.",1
52,2023-07-22,"Too many ads. This app was great before I had to see an advertisement between every set of stories and every 3rd post on my newsfeed. I'm at the point where I report every single one because they show up too often but I'm about ready to stop using this app because I don't see the content of prople I follow. Instead it's all ads, promoted content, and recommended trash",1
53,2023-07-24,"The forced swiping of posts went away for a while, and now it's back for some reason. I really hate this ""feature"", being dictated by the system how long I should look at a photo. I acknowledge I can tap on it to stop the timer before it auto swipes, but that's an extra step when I don't want it to do that to begin with. Please start surfacing options for how I view content and interact with it, please stop forcing me to do it specific ways.",2
54,2023-07-16,"The app has always been glichy but as of late all of my messages are suddenly not showing up like they've been deleted! I've used all of the troubleshooting I've seen, restarting my phone, loging out and back in, checking wifi, switching to data, ect. Nothing has brought them back and now I cannot text my friends on the app anymore, please fix this!",1
55,2023-07-21,"customer service is non-existent. When my last account got hacked, they have a photo-retrieval method in the app that they use to analyze your face and compare it with photos on your account to return it if it matches. Problem was the app would crash during that process on my pretty new android. There's no one to reach out to. I had to start over after years having my previous account.",1
56,2023-07-18,"Would have been a 5, now a 3. For a month or so now when I hit reply to reply to a message it no longer automatically enters the name of who you are replying to. So you have to memorize it, then type it. If that isn't bad enough the sentence/line wrap feature no longer works. The reply just keeps on going on one line forever. Makes editing impossible. I have checked the settings and have yet to find a setting for this. This is only for the last month or so.",3
57,2023-07-04,"In the edit, it be nice to have a borderline frame ð¼ï¸ around the picture so it can keep straight when adjusting the size of a picture. In the preview section it would be nice if display was identical like the display for all to see. It would make it easier to visualize. Before it's sent through the feed. Hope you'll consider it.",3
58,2023-06-07,"Updating: search could be more user friendly, or have filters. No length adjustment for Stories, so they flash past in 1 sec. (it used to at least give me three before this update). Have to add music to add any length to the stories, however music search for stories is awful, 'suggesting' music that is so far out of line with what I would ever use and doesn't update suggestions. If it's going to make suggestions, at least give us a thumbs up/down option.",2
59,2023-06-12,"Good concept, and the photo adjustment tools used to be really good, but somehow don't all work as well as they used to. The app is shockingly buggy, especially when posting multiple adjusted photos in one post. And the same bugs often come and go repeatedly with different updates. I have noticed some eventually getting fixed, but then some new ones always pop up. Also, I want the feed to show mostly the people I follow, not so many new suggestions.",2
60,2023-07-17,"Important to use for modeling. Otherwise I would not use this buggy app. Text disappears from my post for no reason, messages get sent multiple times, and important features are completely missing. For example, once you post, you can't edit carousels (remove or change order), you can't add collaborators, and IG crops images no matter what you do when you can add collaborators before you post. There are more bugs and complaints.",2
61,2023-06-20,The color scheme is constantly turning white and once it's done that your unable to select anything. Conversations with friends is constantly disappearing. Photos I've tried to download become blurry and have to delete. I've restarted my phone several times to try to get it to correct itself to no avail. I'm about ready to just get rid of this app.,1
62,2023-07-13,"It has been working as well as I could ask for (which is not well at all seeing as I do not have notes) then, a few days ago my themes reset to default so I can no longer see the limited ones I had or I lost them entirely. One of these issues alone would be an issue, but it's many inconveniences that pile on top of each other that are enough.",1
63,2023-07-22,"It's an overall fine app and works, but some features absolutely do not. I try to start a saved posts folder with multiple people and it won't allow me. The feature also isn't available on my separate account, it's like one account is ahead of the other in terms of updates, oh yeah i also uninstalled and reinstalled the app to see if that would fix things and it didn't, i tried on pc also doesn't have the features. It seriously needs some fixing.",3
64,2023-06-06,Full of glitches. You have to make reels to get traffic and the reels feature has so many issues I'm about done with the whole app. I just lost an hour's work on a reel with no warning. The whole reel is just gone. Not in drafts. Not posting. Just gone. This kind of thing keeps happening. It's not worth the headache imo.,1
65,2023-06-13,"REELS Icon disappears on me almost daily. Un-installed & re-installed pretty much daily for over a month. I've contacted support 2 times with no response. My phone, internet, and app are all up to date and running fast, I just constantly lose my reels icon and the ability to scroll through the reels I can see. I have to either find reels on stories and back out to my home screen after watching every reel or un & re install the app. What is happening? So frustrating!",1
66,2023-07-24,"The recent update made it so hard to do anything that you would originally get the app for: posting photos and stories, and instead replaces all of the convenient buttons with shopping and reels, which no one wanted. If I wanted shopping advertisements I wouldn't use IG, and yet someone on the development thought it was a good idea to push this updated.",1
67,2023-05-09,"[Update: had to uninstall to have my posts load. Except now it makes it so all my video covers are zoomed in, even on my profile page. Now my profile looks off because the video cuts from zoomed in to normal.] If you send multiple photos to someone, then it appears in a stack that can't even be opened. You have to refresh constantly to see new messages. On the explore page, it has an auto scroll that can't be turned off so you have to fight the auto scroll to even consume content.",1
68,2023-06-23,"Still can't log in on Android 8 or 8.1. When the app actually works, using your fingers to enlarge a picture for a 'story' often makes the pic tilt to one side. Accidentally touching the top of the screen causes the app to scroll all the way to the top, which is STUPID. Add a refresh button we can actually SEE. Any time you use the ""share"" button, you risk losing your place because the app refreshes itself. Also, Instagram and Facebook have a special ""app installer,"" which I hate.",1
69,2023-05-13,"Recently I've been having an issue with the app itself where it won't allow me to repost any posts, reels, or photos of someone else's from my explore page or feed from people I follow. The only thing I'm able to currently post onto my story is anything from my camera roll. I've tried updating it to the current update, uninstalling and reinstalling the app, and logging in and out of the account as well. Hopefully I'm not the only one dealing with this issue currently.",3
70,2023-05-12,I agree with most of the negative reviews. Right now I can't share ANYTHING to my story. Posting multiple photos of different sizes at the same time is a nightmare... IG will just decide to randomly crop whatever it wants. The reels editor / reels remix is a joke and I don't even bother anymore... always freezing or posting with errors after it looked fine in draft. You'd think these would be easy issues to address and they would make them a priority ??? Super frustrating.,2
71,2023-06-02,"Alright, new review. I have the option to save posts to my camera roll turned off, but it STILL saves my posts. It no longer gives me the option for ""original posts"" with the most recent update. Instead, it is ""save original photos."" I turned it off and on again several times. Still saves posts to my camera roll. I don't need multiple copies of the same photo on my phone. It just clutters up space that I need. 1 star until this is fixed.",1
72,2023-06-04,"So editing my review because there is a huge bug i dislike. Actually there are two. The first is the worst, you wont get a message at all and it will send later & vise versa as you could send a msg and it disappears, but reappears later. The next is not so bad, but it would make it so some photos cant be viewed, so you can't get rid of the notifications from that person.",4
73,2023-06-11,"It's been mulfunctioning a lot lately. The biggest issue is with the story creation. If I choose multiple photos and try to make a separate story with caption/ stamps, whatever I added to one slide is repeated on every slide. So I have to delete other ones AND fix the original too since the deletion of others affect the original slide. It's hard to describe what's exactly happening, but it's a new problem and very bothersome. :(",2
74,2023-07-04,"Mediocre at best. What even happened to this app? 1 of my conversations was randomly deleted entirely from my inbox right after the latest update. I've tried logging out/back in, deleting cache, deleting and redownloading. It can't be fixed. I can't view someone's story since it keeps switching to something else, many times not even a story itself. You can't pause reels/videos either. You can't see the date they were posted, and dark and light mode many times are on at the same time. Please fix.",1
75,2023-05-12,"Story share option just disappeared from one of my accounts but not the other (on the same phone). Uninstalling and clearing cache did nothing. Posts will randomly be zoomed in when posting, even if they're a perfect square and/or tapped to fit aspect ratio. If multiple slides, anything after the first one could be screwy in any number of ways. Also have not been getting a notification while in-app when I'm sent a message",2
76,2023-06-04,I got a new phone and it decided to do updates for my Instagram even though on my old phone I had it all turned off. Now I can't see anything that I'm typing when I'm on a live and trying to respond to people. I also cannot pause longer videos by tapping the pause button. I also cannot use the slider bar to go forward and backwards on longer visits. This app is so buggy and it's obvious the developers just don't care and are collecting a paycheck.,1
77,2023-05-20,"The drafts never save and when i go to make a post the picture usually gets stretched out or cuts off. Reels drafts never save either, I cant see who views my stories, insights rarely load at all, and the whole notes window disappears. Also it will close itself out, play the last watched video's sound constantly, or even just become unresponsive. There are a large amount of glitches when trying to post anything. Instagram barely functions most of the time, I hope this can get fixed.",2
78,2023-05-11,"One second I can do something and the next I can't, this app has been bugging for ages and it's ridiculous. The option to post to my story quite literally just disappeared within a second, no matter how many times I restart the app it's still gone. Not only this, but my notifications also just spontaneously stopped working, I cannot for the life of me fix it.",1
79,2023-06-25,"app has so many issues right now. changes from dark to light mode randomly, but only SOME areas. can't read text because it's white on white or black on black sometimes. the music system is also practically unnavigatable? there's no trending section anymore, I only get songs with 2 reels made with it recommended to me, which is not great for growing an account. speaking of, you cannot grow an account on here anymore. with the current changes in place, you better already be a celebrity to be seen",1
80,2023-05-05,This is the worst app if you actually try to edit and post reels. It is insanely glitchy. Constantly tells you something went wrong and makes you force stop the app and try again. It will take you a good 45 minutes to post a 30 second clip as you are constantly trying to get an edit without any glitches on it. For an app that's been around so long I expect so much better.,1
81,2023-06-23,"I have to constantly go in and out of the app just so it stops changing my theme to white in random parts of the app, making it impossible to read or see anything because the text is ALSO white. It's super annoying and I'm tired of it. Ads are so annoying it starts to feel intolerable at times. Recommended algorithm is also atrocious. If I like something by all means continue to show it to me in a REASONABLE amount. I don't want my whole feed to be just one thing.",1
82,2023-06-29,"Phone mysteriously has been running out of storage. Found out that this app has been slowly ballooning and was eating up almost 100 GB of data. That's right, one hundred gigabytes. Not cache that can be cleared out easily, but actual data that requires resetting the app or a fresh reinstall. That's insanely ridiculous. There is absolutely NO WAY I can recommend anyone using this app if it is going to eat up that much of your device's storage.",1
83,2023-05-15,"Read my edit history. Since last year around this same time, I have has trouble with Instagram auto-updating itself with ALL settings to update automatically turned off. For the past 9 months I have (on several accounts) have problems with them action blocking me for no reason, causing me to delete one of my accounts and remake it. When I did so, I lost multiple features that my other accounts have. Like holding save on reels to save to a collection, which I use a lot.",1
84,2023-06-14,"In general, it's a good app, however it seems that there are frequent 'micro-updates'- not to the installed app itself, but to its overall functionality- even w/o opting into beta. This can result in a frustrating user experience, as you end up either dealing with bugs, or unannounced changes to the UI make you wonder if there's an issue with your app until you figure out the new processes yourself. It'd be preferable if all changes were consistently announced via pop-ups, as some already are.",4
85,2023-06-30,"The app has always had issues, my confusion is that they continue to get worse. Today I am simply unable to upload a reel no matter what I do. I have two ""Video can't be posted"" notifications stuck at the top of my page from the first attempts, now my reel has been stuck loading for half an hour. I've rebooted the app, my phone itself, and still my reel loads. It gets to the very end and stops. This app drives me so nuts sometimes.",2
86,2023-05-10,"There's literally like 5 different layouts and it's kind of a gamble which one you get. I've got multiple accounts on my phone and they ALL have different layouts and features. Also it's constantly buggy and slow, like when I'm trying to send someone a post and NOTHING shows up. So yeah it's a lot worse of an app than it should be considering how popular it is.",2
87,2023-07-03,"When it works, it's great, but glitches more often than not (over 60% of the time). Reels hang the whole app when they fail to load, can't change screen names, can't load any new reels. No rhyme or reason. Sometimes it works, sometimes it's failure after failure. Makes me not wanna use it to share photos/videos.",2
88,2023-05-05,"I moved from US 2 Spain. The first few days were fine. Then I got a notice that the location where my data was being stored had changed. I clicked agree & now I can't use the app. The page glitches when I open it - toggling between a blank white page & a pop up that says ""you're all set thanks"". If I hit the back arrow, it says continue reviewing or leave, but there's nothing to review - just blank white page. I uninstalled & reinstalled 3xs. Now, the app says it doesn't recognize me on my cell.",1
89,2023-06-03,"This app is getting worse and worse. Reels are pushed now more than ever. There is no way to stop Reels sent through DM from autoplaying and it lags my app until it stops completely and crashes, making it impossible to read DMs. What happened to having to click a video for it to play? Reels can be saved to bookmarks, but you can't choose what folders they go to. Sending images through DMs is broken and works only half the time.",1
90,2023-07-03,"It says my FB is linked but won't post to it. All my music options are from other countries. Reels are impossible to do anything with. I've sent emails and bug requests since the beginning of May but got nothing back. I've tried uninstalling and logging on/off NOTHING BUT FRUSTRATION. If you're using for business stuff, just go somewhere else.",1
91,2023-06-08,"I'm a creator account, the newest feature ""appointments"" will not stop reminding me that making appointments is an option, but I don't have them on nor want them on to begin with. My other accounts don't have this problem. So when I click X on the reminder, it keeps coming back. GET RID OF IT! Also, app keeps crashing every time I try to click on someone's post in their story.",2
92,2023-06-24,I'm a small artist in the app and I love how we can connect as a community. However the app screws us small creators over. The new update makes hashtags virtually inaccessible and makes it almost impossible to find small accounts. Also the algorithm only boosts reels. When I save a draft for a reel the audio will disappear after I save out of it and I have to go and search for it again. Every update just adds more bugs!,1
93,2023-07-04,"Bring back ""Recent"" hashtags!! Now there is no way to search and find new, smaller accounts and actually engage in topics I'm interested in. All Instagram is now are Reels, most of which are just reposted from Tiktok, and ads. If I wanted to watch videos, I wouldn't be using a PHOTO app! There has also been a huge increase in bugs. Photos posted have literal glitches in them, app crashes, blank photos or stories. The list goes on and on. App is becoming unusable and a shell of what it once was.",2
